"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 28 12:25:45 GMT 2023","Sun May 28 12:27:30 GMT 2023","105132","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","subscribeTelegramTest","Проверка совпадения названия Telegram канала с тестовыми данными [1] 0","Проверяем, что при нажатии на постер «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:29:40 GMT 2023","234450","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [3] 3","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:30:45 GMT 2023","298260","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","subscribeTelegramMobileTest","Проверка совпадения названия Telegram канала с тестовыми данными","Проверяем, что при нажатии на постер «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:28:36 GMT 2023","169976","","Тестовый набор сценариев для категории «Блог»","","testSuites.BlogTests","blogMobileTest","Проверка параметров категории «Блог» [1] 1","Проверяем совпадение параметров (категорию, название, дату создания статьи и время чтения) статьи на странице с разными статьями и на странице выбранной статьи"
"broken","Sun May 28 12:36:41 GMT 2023","Sun May 28 12:38:13 GMT 2023","91286","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerMobileTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [3] 3","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:27:30 GMT 2023","104353","","Тестовый набор сценариев для категории «Блог»","","testSuites.BlogTests","blogMobileTest","Проверка параметров категории «Блог» [2] 2","Проверяем совпадение параметров (категорию, название, дату создания статьи и время чтения) статьи на странице с разными статьями и на странице выбранной статьи"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:27:30 GMT 2023","103719","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [2] 2","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Sun May 28 12:27:30 GMT 2023","Sun May 28 12:31:46 GMT 2023","255571","","Тестовый набор сценариев для категории «Telegram»","","testSuites.TelegramTests","subscribeTelegramTest","Проверка совпадения названия Telegram канала с тестовыми данными [2] 1","Проверяем, что при нажатии на постер «Telegram», на открывшейся странице отображается название, совпадающее с тестовыми данными"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:28:35 GMT 2023","168767","","Тестовый набор сценариев для категории «Премиум»","","testSuites.PremiumTests","premiumPartnerMobileTest","Проверка совпадения названия компании-партнера на странице с перечнем компаний и в модальном окне [1] 1","Проверяем совпадение названия компании на странице с перечнем компаний и в модальном окне"
"broken","Sun May 28 12:25:46 GMT 2023","Sun May 28 12:29:41 GMT 2023","235398","","Тестовый набор сценариев для категории «Кредиты»","","testSuites.CreditTests","creditMobileTest","Проверка совпадения параметров кредита на двух страницах","Проверяем совпадение параметров («Ежемесячный платеж» , «Ставка»  и «Сумма кредита») кредита на странице его расчета и на странице графика платежей"
